FrameID,Action,Mouse_position,execution_time
0000000117,Space,"(1605, 544)",1538255485.4953036
0000000117,Space,"(1605, 544)",1538255485.5062742
0000000117,Space,"(1605, 544)",1538255485.5172448
0000000117,Space,"(1605, 544)",1538255485.528216
0000000117,Space,"(1605, 544)",1538255485.5391862
0000000117,Space,"(1605, 544)",1538255485.550157
0000000117,Space,"(1605, 544)",1538255485.5611277
0000000117,Space,"(1605, 544)",1538255485.5720985
0000000117,Space,"(1605, 544)",1538255485.5830688
0000000118,Space,"(1605, 544)",1538255485.6189733
0000000118,Space,"(1605, 544)",1538255485.6299443
0000000118,Space,"(1605, 544)",1538255485.6409142
0000000118,Space,"(1605, 544)",1538255485.651885
0000000118,Space,"(1605, 544)",1538255485.6628556
0000000118,Space,"(1605, 544)",1538255485.6738262
0000000118,Space,"(1605, 544)",1538255485.6847973
0000000118,Space,"(1605, 544)",1538255485.6957674
0000000118,Space,"(1605, 544)",1538255485.7067387
0000000118,Space,"(1605, 544)",1538255485.717709
0000000118,Space,"(1605, 544)",1538255485.7286797
0000000119,Space,"(1605, 544)",1538255485.780541
0000000119,Space,"(1605, 544)",1538255485.791512
0000000119,Space,"(1605, 544)",1538255485.8024821
0000000119,Space,"(1605, 544)",1538255485.813453
0000000119,Space,"(1605, 544)",1538255485.824424
0000000119,Space,"(1605, 544)",1538255485.8353944
0000000119,Space,"(1605, 544)",1538255485.846365
0000000119,Space,"(1605, 544)",1538255485.856843
0000000119,Space,"(1605, 544)",1538255485.8678133
0000000119,Space,"(1605, 544)",1538255485.878784
0000000120,Space,"(1605, 544)",1538255485.9246612
0000000120,Space,"(1605, 544)",1538255485.9356327
0000000120,Space,"(1605, 544)",1538255485.946603
0000000120,Space,"(1605, 544)",1538255485.9570816
0000000120,Space,"(1605, 544)",1538255485.968052
0000000120,Space,"(1605, 544)",1538255485.9790227
0000000120,Space,"(1605, 544)",1538255485.9899933
0000000120,Space,"(1605, 544)",1538255486.000964
0000000120,Space,"(1605, 544)",1538255486.0119343
0000000120,Space,"(1605, 544)",1538255486.022905
0000000120,Space,"(1605, 544)",1538255486.0338757
0000000121,Space,"(1605, 544)",1538255486.0657907
0000000121,Space,"(1605, 544)",1538255486.0767612
0000000121,Space,"(1605, 544)",1538255486.0877323
0000000121,Space,"(1605, 544)",1538255486.098703
0000000121,Space,"(1605, 544)",1538255486.109673
0000000121,Space,"(1605, 544)",1538255486.1206436
0000000121,Space,"(1605, 544)",1538255486.1316142
0000000121,Space,"(1605, 544)",1538255486.142585
0000000121,Space,"(1605, 544)",1538255486.1535556
0000000121,Space,"(1605, 544)",1538255486.164526
0000000121,Space,"(1605, 544)",1538255486.1754968
0000000121,Space,"(1605, 544)",1538255486.1864674
0000000122,Space,"(1605, 544)",1538255486.2213748
0000000122,Space,"(1605, 544)",1538255486.2323458
0000000122,Space,"(1605, 544)",1538255486.2433155
0000000122,Space,"(1605, 544)",1538255486.254286
0000000122,Space,"(1605, 544)",1538255486.2652566
0000000122,Space,"(1605, 544)",1538255486.2762272
0000000122,Space,"(1605, 544)",1538255486.2871983
0000000122,Space,"(1605, 544)",1538255486.2981687
0000000122,Space,"(1605, 544)",1538255486.30914
